first_name,last_name,age,phone_number,set_id,theme,subtheme,year,name,pieces,us_price,image_url,quantity,theme_id
Connor,Brown,36,516-555-4310,71230,Dimensions,Fun Pack,2018,Fun Pack: Doc Brown,69,14.99,http://images.brickset.com/sets/images/71230-1.jpg,1,604
Connor,Brown,36,516-555-4310,60112,City,Fire,2018,Fire Engine,376,49.99,http://images.brickset.com/sets/images/60112-1.jpg,1,58
Connor,Brown,36,516-555-4310,41573,Mixels,Series 9,2018,Sweepz,61,4.99,NA,1,589
Toni,Borison,40,284-555-4560,70595,Ninjago,Rise of the Villains,2018,Ultra Stealth Raider,1093,119.99,http://images.brickset.com/sets/images/70595-1.jpg,1,435
Toni,Borison,40,284-555-4560,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,1,155
Daniel,Hurst,44,251-555-0845,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,1,587
Daniel,Hurst,44,251-555-0845,31048,Creator,NA,2018,Lakeside Lodge,368,29.99,http://images.brickset.com/sets/images/31048-1.jpg,1,22
Judith,Webb,39,917-555-7417,5005059,Gear,Video Games/PS3,2018,Marvel Avengers PS3 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005059-1.jpg,2,NA
Nicholas,Belfageoua,46,606-555-4814,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1,NA
Nicholas,Belfageoua,46,606-555-4814,70327,Nexo Knights,NA,2018,The King's Mech,375,29.99,http://images.brickset.com/sets/images/70327-1.jpg,1,605
Amanda,Tronnier,45,317-555-7477,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1,184
Amanda,Tronnier,45,317-555-7477,853543,Ninjago,NA,2018,Ninjago Party Set,70,7.99,http://images.brickset.com/sets/images/853543-1.jpg,2,NA
Amanda,Tronnier,45,317-555-7477,60118,City,Traffic,2018,Garbage Truck,248,19.99,http://images.brickset.com/sets/images/60118-1.jpg,1,52
Amanda,Tronnier,45,317-555-7477,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,1,501
Jacob,Nzabanita,31,339-555-2572,41117,Friends,Pop Star,2018,Pop Star TV Studio,194,19.99,http://images.brickset.com/sets/images/41117-1.jpg,1,494
Jacob,Nzabanita,31,339-555-2572,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2,158
Jacob,Nzabanita,31,339-555-2572,41172,Elves,NA,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1,600
Jacob,Nzabanita,31,339-555-2572,75151,Star Wars,Episode III,2018,Clone Turbo Tank,903,109.99,http://images.brickset.com/sets/images/75151-1.jpg,1,168
Hannah,Drews Stunkel,55,339-555-6320,70590,Ninjago,NA,2018,Airjitzu Battle Grounds,666,59.99,NA,1,436
Hannah,Drews Stunkel,55,339-555-6320,70593,Ninjago,Skybound,2018,The Green NRG Dragon,567,49.99,http://images.brickset.com/sets/images/70593-1.jpg,3,435
Hannah,Drews Stunkel,55,339-555-6320,41119,Friends,NA,2018,Heartlake Cupcake Cafe,439,39.99,http://images.brickset.com/sets/images/41119-1.jpg,1,494
Erik,Brownrigg,44,NA,70589,Ninjago,Rise of the Villains,2018,Rock Roader,406,39.99,http://images.brickset.com/sets/images/70589-1.jpg,1,435
Jackson,Martinez,43,250-555-1732,71304,Bionicle,Companions,2018,Terak - Creature of Earth,74,9.99,http://images.brickset.com/sets/images/71304-1.jpg,1,324
Jackson,Martinez,43,250-555-1732,41559,Mixels,Series 7,2018,Paladum,64,4.99,http://images.brickset.com/sets/images/41559-1.jpg,2,587
Jackson,Martinez,43,250-555-1732,21031,Architecture,NA,2018,Burj Khalifa,333,39.99,http://images.brickset.com/sets/images/21031-1.jpg,3,252
Riley,Ott,51,517-555-2093,75126,Star Wars,MicroFighters,2018,First Order Snowspeeder,91,9.99,http://images.brickset.com/sets/images/75126-1.jpg,2,184
Riley,Ott,51,517-555-2093,70604,Ninjago,Skybound,2018,Tiger Widow Island,450,49.99,http://images.brickset.com/sets/images/70604-1.jpg,1,435
Hector,Collins,20,340-555-2508,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1,184
Hector,Collins,20,340-555-2508,41172,Elves,NA,2018,The Water Dragon Adventure,212,19.99,http://images.brickset.com/sets/images/41172-1.jpg,1,600
Hector,Collins,20,340-555-2508,75098,Star Wars,Ultimate Collector Series,2018,Assault on Hoth,2144,249.99,http://images.brickset.com/sets/images/75098-1.jpg,1,174
Mckenzie,Cherry,37,336-555-9269,853505,Gear,Role-Play toys,2018,NK Sword Standard,NA,9.99,http://images.brickset.com/sets/images/853505-1.jpg,1,NA
Michelle,Uguccioni,17,NA,70310,Nexo Knights,NA,2018,Knighton Battle Blaster,76,9.99,http://images.brickset.com/sets/images/70310-1.jpg,1,605
Michelle,Uguccioni,17,NA,31046,Creator,NA,2018,Fast Car,222,19.99,http://images.brickset.com/sets/images/31046-1.jpg,1,22
Rebecca,Duval,48,908-555-4029,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2,494
Rebecca,Duval,48,908-555-4029,41573,Mixels,Series 9,2018,Sweepz,61,4.99,NA,1,589
Rebecca,Duval,48,908-555-4029,21028,Architecture,Skylines,2018,New York City,598,59.99,http://images.brickset.com/sets/images/21028-1.jpg,2,253
Katherine,Hogue,27,289-555-4928,853555,Gear,Stationery,2018,Campsite Scrapbook,NA,14.99,http://images.brickset.com/sets/images/853555-1.jpg,2,NA
Katherine,Hogue,27,289-555-4928,75822,The Angry Birds Movie,NA,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1,606
Adoria,Hammond,40,712-555-6781,10830,Duplo,NA,2018,Minnie's Café,27,19.99,http://images.brickset.com/sets/images/10830-1.jpg,1,504
Amanda,Musick,24,878-555-7113,76054,DC Comics Super Heroes,Batman,2018,Batman: Scarecrow Harvest of Fear,563,59.99,http://images.brickset.com/sets/images/76054-1.jpg,2,484
Cecilia,Mauro,50,NA,75157,Star Wars,Rebels,2018,Captain Rex's AT-TE,972,119.99,http://images.brickset.com/sets/images/75157-1.jpg,3,182
Shina,Hegarty,22,868-555-1868,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,3,494
Shina,Hegarty,22,868-555-1868,41142,Disney Princess,Palace Pets,2018,Palace Pets Royal Castle,186,19.99,http://images.brickset.com/sets/images/41142-1.jpg,3,579
Shina,Hegarty,22,868-555-1868,21028,Architecture,Skylines,2018,New York City,598,59.99,http://images.brickset.com/sets/images/21028-1.jpg,1,253
Anthony,Kiyotake,22,980-555-0099,41568,Mixels,Series 8,2018,Lewt,62,4.99,http://images.brickset.com/sets/images/41568-1.jpg,1,588
Anthony,Kiyotake,22,980-555-0099,853568,Gear,Key Chains/City,2018,Prison Guard Key Chain,NA,5.99,http://images.brickset.com/sets/images/853568-1.jpg,1,NA
Connor,Fourzan,32,805-555-3065,853519,Gear,Playmats,2018,NK Playmat,NA,14.99,http://images.brickset.com/sets/images/853519-1.jpg,1,NA
Connor,Fourzan,32,805-555-3065,75130,Star Wars,MicroFighters,2018,AT-DP,76,9.99,http://images.brickset.com/sets/images/75130-1.jpg,1,182
Kayla,Rush,25,281-555-9341,31046,Creator,NA,2018,Fast Car,222,19.99,http://images.brickset.com/sets/images/31046-1.jpg,1,22
Kayla,Rush,25,281-555-9341,76065,Marvel Super Heroes,Mighty Micros,2018,Captain America vs. Red Skull,95,9.99,http://images.brickset.com/sets/images/76065-1.jpg,1,482
Kayla,Rush,25,281-555-9341,75824,The Angry Birds Movie,NA,2018,Pig City Teardown,386,39.99,http://images.brickset.com/sets/images/75824-1.jpg,1,606
Lucas,Montoya,34,616-555-2269,41555,Mixels,Series 7,2018,Busto,69,4.99,http://images.brickset.com/sets/images/41555-1.jpg,2,587
Lucas,Montoya,34,616-555-2269,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2,494
Lucas,Montoya,34,616-555-2269,70330,Nexo Knights,Ultimate,2018,Ultimate Clay,72,9.99,http://images.brickset.com/sets/images/70330-1.jpg,2,605
Peggy,Hiner,21,563-555-1011,41119,Friends,NA,2018,Heartlake Cupcake Cafe,439,39.99,http://images.brickset.com/sets/images/41119-1.jpg,1,494
Maya,Wolfe,33,NA,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1,NA
Keno,Graves,51,209-555-6030,75145,Star Wars,Original Content,2018,Eclipse Fighter,363,29.99,http://images.brickset.com/sets/images/75145-1.jpg,1,170
Lucas,Jimenez-Dominguez,18,712-555-0459,31043,Creator,NA,2018,Chopper Transporter,124,9.99,http://images.brickset.com/sets/images/31043-1.jpg,2,22
Lucas,Jimenez-Dominguez,18,712-555-0459,41573,Mixels,Series 9,2018,Sweepz,61,4.99,NA,1,589
Lucas,Jimenez-Dominguez,18,712-555-0459,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1,579
Lucas,Jimenez-Dominguez,18,712-555-0459,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,2,587
Lucas,Jimenez-Dominguez,18,712-555-0459,41572,Mixels,Series 9,2018,Gobbol,62,4.99,NA,1,589
Jake,Montes Alvarez,30,603-555-6881,41566,Mixels,Series 8,2018,Sharx,55,4.99,http://images.brickset.com/sets/images/41566-1.jpg,1,588
Jake,Montes Alvarez,30,603-555-6881,76066,Marvel Super Heroes,Mighty Micros,2018,Hulk vs. Ultron,80,9.99,http://images.brickset.com/sets/images/76066-1.jpg,1,482
Jake,Montes Alvarez,30,603-555-6881,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,2,579
Jake,Montes Alvarez,30,603-555-6881,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,3,501
Trevon,Thanh,25,NA,21128,Minecraft,Minifig-scale,2018,The Village,NA,199.99,NA,1,577
John'Dunae,Higgins,19,813-555-5561,76046,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,2018,Heroes of Justice: Sky High Battle,517,59.99,http://images.brickset.com/sets/images/76046-1.jpg,1,482
Tysen,Banda-Chavez,43,NA,5005060,Gear,Video Games/3DS,2018,Marvel Avengers Nintendo 3DS Video Game,NA,29.99,http://images.brickset.com/sets/images/5005060-1.jpg,2,NA
Tysen,Banda-Chavez,43,NA,41564,Mixels,Series 8,2018,Aquad,70,4.99,http://images.brickset.com/sets/images/41564-1.jpg,1,588
Tysen,Banda-Chavez,43,NA,60108,City,Fire,2018,Fire Response Unit,257,39.99,http://images.brickset.com/sets/images/60108-1.jpg,2,58
Janay,Gienapp,63,774-555-2102,21128,Minecraft,Minifig-scale,2018,The Village,NA,199.99,NA,1,577
Janay,Gienapp,63,774-555-2102,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1,579
Janay,Gienapp,63,774-555-2102,30349,City,NA,2018,Sports Car,47,3.99,http://images.brickset.com/sets/images/30349-1.jpg,1,52
Eric,Benally,20,418-555-3696,70316,Nexo Knights,NA,2018,Jestro's Evil Mobile,658,59.99,http://images.brickset.com/sets/images/70316-1.jpg,1,605
Eric,Benally,20,418-555-3696,70319,Nexo Knights,NA,2018,Macy's Thunder Mace,202,19.99,http://images.brickset.com/sets/images/70319-1.jpg,1,605
Eric,Benally,20,418-555-3696,41122,Friends,Adventure Camp,2018,Adventure Camp Tree House,726,79.99,http://images.brickset.com/sets/images/41122-1.jpg,1,494
Carson,Aragon,38,NA,70319,Nexo Knights,NA,2018,Macy's Thunder Mace,202,19.99,http://images.brickset.com/sets/images/70319-1.jpg,1,605
Carson,Aragon,38,NA,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1,58
Samantha,Haberland,21,705-555-1457,75828,Ghostbusters,Reboot,2018,Ghostbusters Ecto-1 & Ecto-2,NA,59.99,http://images.brickset.com/sets/images/75828-1.jpg,1,607
Samantha,Haberland,21,705-555-1457,71313,Bionicle,Reboot Villains,2018,Lava Beast,114,14.99,NA,1,324
Samantha,Haberland,21,705-555-1457,70333,Nexo Knights,Ultimate,2018,Ultimate Robin,75,9.99,http://images.brickset.com/sets/images/70333-1.jpg,1,605
Cameron,Rodriguez,48,325-555-1926,853534,Gear,Key Chains/Ninjago,2018,Airjitzu Jay Key Chain,NA,5.99,http://images.brickset.com/sets/images/853534-1.jpg,1,NA
Cameron,Rodriguez,48,325-555-1926,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1,58
Connor,Padilla,36,441-555-6534,71310,Bionicle,Reboot Villains,2018,Umarak the Hunter,172,19.99,http://images.brickset.com/sets/images/71310-1.jpg,2,324
Connor,Padilla,36,441-555-6534,41556,Mixels,Series 7,2018,Tiketz,62,4.99,http://images.brickset.com/sets/images/41556-1.jpg,1,587
Connor,Padilla,36,441-555-6534,75138,Star Wars,Episode V,2018,Hoth Attack,233,24.99,http://images.brickset.com/sets/images/75138-1.jpg,1,169
Tyrii,Bloom,23,784-555-7128,70313,Nexo Knights,NA,2018,Moltor's Lava Smasher,187,19.99,http://images.brickset.com/sets/images/70313-1.jpg,1,605
Tyrii,Bloom,23,784-555-7128,41120,Friends,Adventure Camp,2018,Adventure Camp Archery,114,9.99,http://images.brickset.com/sets/images/41120-1.jpg,1,494
Tyrii,Bloom,23,784-555-7128,31044,Creator,NA,2018,Park Animals,202,14.99,http://images.brickset.com/sets/images/31044-1.jpg,1,22
Tyrii,Bloom,23,784-555-7128,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,3,494
Austin,Martinez,29,NA,70600,Ninjago,Skybound,2018,Ninja Bike Chase,231,19.99,http://images.brickset.com/sets/images/70600-1.jpg,2,435
Caroline,Holstein,38,318-555-7894,75140,Star Wars,The Force Awakens,2018,Resistance Troop Transporter,646,69.99,http://images.brickset.com/sets/images/75140-1.jpg,1,184
Caroline,Holstein,38,318-555-7894,70331,Nexo Knights,Ultimate,2018,Ultimate Macy,101,9.99,http://images.brickset.com/sets/images/70331-1.jpg,1,605
Caroline,Holstein,38,318-555-7894,60109,City,Fire,2018,Fire Boat,412,79.99,http://images.brickset.com/sets/images/60109-1.jpg,1,58
Caroline,Holstein,38,318-555-7894,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1,184
Caroline,Holstein,38,318-555-7894,76053,DC Comics Super Heroes,Batman,2018,Gotham City Cycle Chase,224,19.99,http://images.brickset.com/sets/images/76053-1.jpg,3,484
Joshua,Long,55,469-555-6245,5005057,Gear,Video Games/XBOX 360,2018,Marvel Avengers XBOX 360 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005057-1.jpg,1,NA
Joshua,Long,55,469-555-6245,5005058,Gear,Video Games/Wii U,2018,Marvel Avengers Wii U Video Game,NA,49.99,http://images.brickset.com/sets/images/5005058-1.jpg,1,NA
Binh,Skalla,23,NA,60118,City,Traffic,2018,Garbage Truck,248,19.99,http://images.brickset.com/sets/images/60118-1.jpg,1,52
Binh,Skalla,23,NA,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1,184
Binh,Skalla,23,NA,41121,Friends,Adventure Camp,2018,Adventure Camp Rafting,320,29.99,http://images.brickset.com/sets/images/41121-1.jpg,1,494
Nicholas,Scott,57,418-555-1075,70312,Nexo Knights,NA,2018,Lance's Mecha Horse,237,19.99,http://images.brickset.com/sets/images/70312-1.jpg,1,605
Nicholas,Scott,57,418-555-1075,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1,NA
Nicholas,Scott,57,418-555-1075,853572,Gear,Key Chains/Miscellaneous,2018,Bumble Bee Key Chain,NA,5.99,http://images.brickset.com/sets/images/853572-1.jpg,2,NA
Jacob,Barron,27,319-555-6104,60113,City,Traffic,2018,Rally Car,104,9.99,http://images.brickset.com/sets/images/60113-1.jpg,1,63
Jacob,Barron,27,319-555-6104,75134,Star Wars,Battlefront,2018,Galactic Empire Battle Pack,109,12.99,http://images.brickset.com/sets/images/75134-1.jpg,2,158
Madeline,Castor,39,450-555-9877,41567,Mixels,Series 8,2018,Skulzy,66,4.99,http://images.brickset.com/sets/images/41567-1.jpg,1,588
Madeline,Castor,39,450-555-9877,76059,Marvel Super Heroes,Ultimate Spider-Man,2018,Spider-Man: Doc Ock's Tentacle Trap,446,39.99,http://images.brickset.com/sets/images/76059-1.jpg,1,488
Madeline,Castor,39,450-555-9877,41178,Elves,NA,2018,The Dragon Sanctuary,585,49.99,NA,1,600
Trevor,Perez,39,878-555-5155,41115,Friends,NA,2018,Emma's Creative Workshop,108,9.99,http://images.brickset.com/sets/images/41115-1.jpg,1,494
Trevor,Perez,39,878-555-5155,76048,Marvel Super Heroes,Avengers Assemble,2018,Iron Skull Sub Attack,335,29.99,http://images.brickset.com/sets/images/76048-1.jpg,1,487
Trevor,Perez,39,878-555-5155,41069,Disney Princess,Palace Pets,2018,Treasure's Day at the Pool,70,5.99,http://images.brickset.com/sets/images/41069-1.jpg,1,579
David,Cabral,19,415-555-8642,71309,Bionicle,Toa,2018,Onua - Uniter of Earth,143,19.99,http://images.brickset.com/sets/images/71309-1.jpg,2,324
Adam,Albornoz,36,418-555-2486,42050,Technic,NA,2018,Drag Racer,647,79.99,http://images.brickset.com/sets/images/42050-1.jpg,1,1
Manuel,Wilkerson,23,441-555-3652,41174,Elves,NA,2018,The Starlight Inn,343,29.99,http://images.brickset.com/sets/images/41174-1.jpg,1,600
Manuel,Wilkerson,23,441-555-3652,76066,Marvel Super Heroes,Mighty Micros,2018,Hulk vs. Ultron,80,9.99,http://images.brickset.com/sets/images/76066-1.jpg,1,482
Manuel,Wilkerson,23,441-555-3652,70599,Ninjago,Skybound,2018,Cole's Dragon,98,9.99,http://images.brickset.com/sets/images/70599-1.jpg,2,435
Dakota,Klopp,33,970-555-9320,75822,The Angry Birds Movie,NA,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1,606
Dakota,Klopp,33,970-555-9320,71235,Dimensions,Level Pack,2018,Level Pack: Midway Arcade,96,29.99,http://images.brickset.com/sets/images/71235-1.jpg,2,604
Dakota,Klopp,33,970-555-9320,41567,Mixels,Series 8,2018,Skulzy,66,4.99,http://images.brickset.com/sets/images/41567-1.jpg,2,588
Aleksandr,Gurrola,61,508-555-9403,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1,58
Michael,Hernandez Muniz,62,NA,76047,Marvel Super Heroes,Captain America: Civil War,2018,Black Panther Pursuit,287,29.99,http://images.brickset.com/sets/images/76047-1.jpg,2,493
Xavier,Suazo,27,321-555-0605,75114,Star Wars,Buildable Figures,2018,First Order Stormtrooper,81,19.99,http://images.brickset.com/sets/images/75114-1.jpg,1,184
Xavier,Suazo,27,321-555-0605,70603,Ninjago,Skybound,2018,Raid Zeppelin,294,29.99,http://images.brickset.com/sets/images/70603-1.jpg,1,435
Jaime,Rideout,26,913-555-5139,70326,Nexo Knights,NA,2018,The Black Knight Mech,530,39.99,NA,2,605
Jaime,Rideout,26,913-555-5139,10818,Duplo,NA,2018,My First Truck,29,19.99,http://images.brickset.com/sets/images/10818-1.jpg,2,504
Jaime,Rideout,26,913-555-5139,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2,494
Tj,Aguon,47,862-555-5629,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,1,494
Tj,Aguon,47,862-555-5629,31040,Creator,NA,2018,Desert Racers,65,4.99,http://images.brickset.com/sets/images/31040-1.jpg,1,22
Tj,Aguon,47,862-555-5629,10830,Duplo,NA,2018,Minnie's Café,27,19.99,http://images.brickset.com/sets/images/10830-1.jpg,1,504
Taylor,Allen,41,760-555-8123,75147,Star Wars,Original Content,2018,Star Scavenger,558,49.99,http://images.brickset.com/sets/images/75147-1.jpg,2,170
Kaitlyn,Degeer,24,316-555-7890,853543,Ninjago,NA,2018,Ninjago Party Set,70,7.99,http://images.brickset.com/sets/images/853543-1.jpg,1,NA
Kaitlyn,Degeer,24,316-555-7890,70332,Nexo Knights,Ultimate,2018,Ultimate Aaron,82,9.99,http://images.brickset.com/sets/images/70332-1.jpg,2,605
Kaitlyn,Degeer,24,316-555-7890,41574,Mixels,Series 9,2018,Compax,66,4.99,NA,1,589
Kaitlyn,Degeer,24,316-555-7890,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,2,155
Matthew,Sandoval,22,671-555-7044,75822,The Angry Birds Movie,NA,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1,606
Matthew,Sandoval,22,671-555-7044,853571,Gear,Key Chains/Miscellaneous,2018,Hot Dog Guy Key Chain,NA,5.99,http://images.brickset.com/sets/images/853571-1.jpg,1,NA
Jordan,West,56,810-555-1608,41113,Friends,Party,2018,Party Gift Shop,52,4.99,http://images.brickset.com/sets/images/41113-1.jpg,1,494
Jordan,West,56,810-555-1608,10807,Duplo,NA,2018,Horse Trailer,15,19.99,http://images.brickset.com/sets/images/10807-1.jpg,1,NA
Reyes,Wilson,33,605-555-2774,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,1,587
Reyes,Wilson,33,605-555-2774,31045,Creator,NA,2018,Ocean Explorer,213,14.99,http://images.brickset.com/sets/images/31045-1.jpg,1,22
Reyes,Wilson,33,605-555-2774,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2,158
Avery,Leung,33,330-555-2699,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1,184
Avery,Leung,33,330-555-2699,853555,Gear,Stationery,2018,Campsite Scrapbook,NA,14.99,http://images.brickset.com/sets/images/853555-1.jpg,1,NA
Michael,Williams,31,936-555-2974,40202,Seasonal,Easter,2018,Easter Chick,111,9.99,NA,1,229
Michael,Williams,31,936-555-2974,71307,Bionicle,Toa,2018,Gali - Uniter of Water,87,14.99,http://images.brickset.com/sets/images/71307-1.jpg,1,324
Michael,Williams,31,936-555-2974,31041,Creator,NA,2018,Construction Vehicles,64,4.99,http://images.brickset.com/sets/images/31041-1.jpg,1,22
Colleen,Galley,31,710-555-8843,41141,Disney Princess,Palace Pets,2018,Pumpkin's Royal Carriage,79,9.99,http://images.brickset.com/sets/images/41141-1.jpg,2,579
Colleen,Galley,31,710-555-8843,60105,City,Fire,2018,Fire ATV,64,6.99,http://images.brickset.com/sets/images/60105-1.jpg,1,58
Colleen,Galley,31,710-555-8843,71300,Bionicle,companions,2018,Uxar - Creature of Jungle,89,9.99,http://images.brickset.com/sets/images/71300-1.jpg,1,324
Brandilyn,Robertson,27,724-555-5496,41069,Disney Princess,Palace Pets,2018,Treasure's Day at the Pool,70,5.99,http://images.brickset.com/sets/images/41069-1.jpg,1,579
Brandilyn,Robertson,27,724-555-5496,853519,Gear,Playmats,2018,NK Playmat,NA,14.99,http://images.brickset.com/sets/images/853519-1.jpg,3,NA
Brandilyn,Robertson,27,724-555-5496,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1,579
Brandilyn,Robertson,27,724-555-5496,70320,Nexo Knights,NA,2018,Aaron Fox's Aero-Striker V2,301,29.99,http://images.brickset.com/sets/images/70320-1.jpg,1,605
Brandilyn,Robertson,27,724-555-5496,76047,Marvel Super Heroes,Captain America: Civil War,2018,Black Panther Pursuit,287,29.99,http://images.brickset.com/sets/images/76047-1.jpg,2,493
Son,Saldanha,30,507-555-2278,853505,Gear,Role-Play toys,2018,NK Sword Standard,NA,9.99,http://images.brickset.com/sets/images/853505-1.jpg,2,NA
Son,Saldanha,30,507-555-2278,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2,158
Katherine,Beck,45,209-555-7105,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,1,155
Katherine,Beck,45,209-555-7105,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1,184
Katherine,Beck,45,209-555-7105,70312,Nexo Knights,NA,2018,Lance's Mecha Horse,237,19.99,http://images.brickset.com/sets/images/70312-1.jpg,2,605
Katherine,Beck,45,209-555-7105,41178,Elves,NA,2018,The Dragon Sanctuary,585,49.99,NA,1,600
